"rank","persona_id","role","role_label","work_setting","life_stage","time_pressure","personal_priority","primary_goal","completed_first_value","wow_moment","love_score","use_again_score","family_time_back_resonance_score","outcome_tier","primary_pain_point"
"1505","DEMO-TEST-SL-5000-FACILITY-0799","facility","Facility / CPO","fitness or medical facility","raising young children","unpredictable on-call schedule","get home for dinner","prepare an escalation packet","true","false","74.2","72.9","86.6","promising","facility completion packet needs richer evidence capture"
"1506","DEMO-TEST-SL-5000-COUNTER-0960","counter","Counter / Distributor","regional distributor counter","late career or empty nest","school or daycare pickup","get home for dinner","identify a walk-in part","true","true","74.1","81.6","88.3","promising","proof packet value is invisible before the first successful scan"
"1507","DEMO-TEST-SL-5000-TRAINER-0644","trainer","Trainer","CPO classroom","established family","school or daycare pickup","feel confident without calling a boss","run a five-minute field lesson","true","true","74.1","79.7","83.7","promising","training value is hidden until after a PartSnap result"
"1508","DEMO-TEST-SL-5000-TRAINER-0098","trainer","Trainer","independent online training","established family","second job or side work","feel confident without calling a boss","run a five-minute field lesson","true","true","74.1","77.5","84","promising","training value is hidden until after a PartSnap result"
"1509","DEMO-TEST-SL-5000-HOMEOWNER-0228","homeowner","Homeowner","owner working with a service company","raising young children","unpredictable on-call schedule","feel confident without calling a boss","estimate pool volume","true","true","74.1","74.5","89.3","promising","technical navigation remains too broad for homeowner mode"
"1510","DEMO-TEST-SL-5000-COUNTER-0671","counter","Counter / Distributor","mobile parts seller","early career","elder-care responsibility","teach the next person faster","compare possible part families","true","true","74","81","83.4","promising","proof packet value is invisible before the first successful scan"
"1511","DEMO-TEST-SL-5000-TRAINER-0637","trainer","Trainer","service-company ride-along","early career","second job or side work","get home for dinner","review a mystery part","true","true","74","80.9","88.4","promising","training value is hidden until after a PartSnap result"
"1512","DEMO-TEST-SL-5000-COUNTER-0385","counter","Counter / Distributor","mobile parts seller","early career","school or daycare pickup","teach the next person faster","collect the missing label proof","true","true","74","80.3","83.6","promising","proof packet value is invisible before the first successful scan"
"1513","DEMO-TEST-SL-5000-TRAINER-0622","trainer","Trainer","CPO classroom","late career or empty nest","elder-care responsibility","get home for dinner","use a facility scenario","true","true","74","80.1","88.4","promising","training value is hidden until after a PartSnap result"
"1514","DEMO-TEST-SL-5000-TRAINER-0204","trainer","Trainer","trade-school lab","raising young children","protect dinner at home","teach the next person faster","teach proof before ordering","true","true","74","78.8","84.8","promising","training value is hidden until after a PartSnap result"
"1515","DEMO-TEST-SL-5000-COUNTER-0958","counter","Counter / Distributor","manufacturer support desk","established family","unpredictable on-call schedule","get home for dinner","compare possible part families","true","true","74","78.3","88.8","promising","proof packet value is invisible before the first successful scan"
"1516","DEMO-TEST-SL-5000-TRAINER-0524","trainer","Trainer","manufacturer training","established family","school or daycare pickup","get home for dinner","review a mystery part","true","true","74","77.2","88.9","promising","training value is hidden until after a PartSnap result"
"1517","DEMO-TEST-SL-5000-HOMEOWNER-0380","homeowner","Homeowner","short-term rental owner","early career","school or daycare pickup","feel confident without calling a boss","understand turnover time","true","true","74","77.2","84","promising","technical navigation remains too broad for homeowner mode"
"1518","DEMO-TEST-SL-5000-TRAINER-0184","trainer","Trainer","trade-school lab","established family","second job or side work","protect customer or facility trust","run a five-minute field lesson","true","true","74","76.6","84.2","promising","training value is hidden until after a PartSnap result"
"1519","DEMO-TEST-SL-5000-TRAINER-0565","trainer","Trainer","independent online training","raising young children","unpredictable on-call schedule","teach the next person faster","teach proof before ordering","true","true","74","76.4","89.1","promising","training value is hidden until after a PartSnap result"
"1520","DEMO-TEST-SL-5000-TECH-0479","tech","Service Tech","commercial pool route","sandwich caregiver","unpredictable on-call schedule","protect customer or facility trust","save visit proof","true","false","74","72.1","81.8","promising","secondary controls need larger touch targets"
"1521","DEMO-TEST-SL-5000-COUNTER-0457","counter","Counter / Distributor","service-company stock room","established family","elder-care responsibility","protect customer or facility trust","send a vendor packet","true","true","73.9","82.4","83.2","promising","proof packet value is invisible before the first successful scan"
"1522","DEMO-TEST-SL-5000-COUNTER-0950","counter","Counter / Distributor","service-company stock room","established family","protect dinner at home","avoid a weekend callback","collect the missing label proof","true","true","73.9","81.9","84.3","promising","proof packet value is invisible before the first successful scan"
"1523","DEMO-TEST-SL-5000-COUNTER-0453","counter","Counter / Distributor","regional distributor counter","late career or empty nest","second job or side work","feel confident without calling a boss","send a vendor packet","true","true","73.9","79.8","83.7","promising","proof packet value is invisible before the first successful scan"
"1524","DEMO-TEST-SL-5000-HOMEOWNER-0264","homeowner","Homeowner","experienced DIY owner","late career or empty nest","protect dinner at home","get home for dinner","check a basic dosing input","true","true","73.9","77.7","84.9","promising","technical navigation remains too broad for homeowner mode"
"1525","DEMO-TEST-SL-5000-HOMEOWNER-0555","homeowner","Homeowner","owner working with a service company","raising young children","protect dinner at home","get home for dinner","estimate pool volume","true","true","73.9","77.7","89.8","promising","technical navigation remains too broad for homeowner mode"
"1526","DEMO-TEST-SL-5000-HOMEOWNER-0648","homeowner","Homeowner","experienced DIY owner","late career or empty nest","unpredictable on-call schedule","get home for dinner","prepare a clear note for a pro","true","true","73.9","77","88.9","promising","technical navigation remains too broad for homeowner mode"
"1527","DEMO-TEST-SL-5000-TRAINER-0592","trainer","Trainer","trade-school lab","raising young children","protect dinner at home","protect customer or facility trust","use a facility scenario","true","true","73.9","75.9","85.2","promising","training value is hidden until after a PartSnap result"
"1528","DEMO-TEST-SL-5000-HOMEOWNER-0140","homeowner","Homeowner","HOA board volunteer","late career or empty nest","elder-care responsibility","get home for dinner","understand turnover time","true","true","73.9","74.9","89.2","promising","technical navigation remains too broad for homeowner mode"
"1529","DEMO-TEST-SL-5000-HOMEOWNER-0825","homeowner","Homeowner","experienced DIY owner","early career","second job or side work","feel confident without calling a boss","estimate pool volume","true","true","73.9","74.4","84.4","promising","technical navigation remains too broad for homeowner mode"
"1530","DEMO-TEST-SL-5000-TECH-0683","tech","Service Tech","solo residential route","late career or empty nest","protect dinner at home","protect customer or facility trust","avoid a wrong part order","true","true","73.8","81.1","79.6","promising","service-tech start favors code lookup over the PartSnap fork"
"1531","DEMO-TEST-SL-5000-TRAINER-0213","trainer","Trainer","trade-school lab","early career","second job or side work","get home for dinner","teach proof before ordering","true","true","73.8","79.4","88.6","promising","training value is hidden until after a PartSnap result"
"1532","DEMO-TEST-SL-5000-TRAINER-0509","trainer","Trainer","independent online training","raising young children","elder-care responsibility","feel confident without calling a boss","review a mystery part","true","true","73.8","79.4","88.5","promising","training value is hidden until after a PartSnap result"
"1533","DEMO-TEST-SL-5000-TRAINER-0322","trainer","Trainer","CPO classroom","raising young children","unpredictable on-call schedule","get home for dinner","review a mystery part","true","true","73.8","78.5","93.6","promising","training value is hidden until after a PartSnap result"
"1534","DEMO-TEST-SL-5000-TRAINER-0858","trainer","Trainer","trade-school lab","established family","protect dinner at home","get home for dinner","review a mystery part","true","true","73.8","78.1","84.8","promising","training value is hidden until after a PartSnap result"
"1535","DEMO-TEST-SL-5000-HOMEOWNER-0936","homeowner","Homeowner","short-term rental owner","established family","school or daycare pickup","feel confident without calling a boss","know when to stop and call a pro","true","true","73.8","72","84.7","promising","technical navigation remains too broad for homeowner mode"
"1536","DEMO-TEST-SL-5000-TRAINER-0547","trainer","Trainer","service-company ride-along","late career or empty nest","second job or side work","avoid a weekend callback","teach proof before ordering","true","true","73.7","79.8","88.4","promising","training value is hidden until after a PartSnap result"
"1537","DEMO-TEST-SL-5000-COUNTER-0412","counter","Counter / Distributor","mobile parts seller","raising young children","unpredictable on-call schedule","feel confident without calling a boss","send a vendor packet","true","true","73.7","78.2","88.7","promising","proof packet value is invisible before the first successful scan"
"1538","DEMO-TEST-SL-5000-COUNTER-0919","counter","Counter / Distributor","mobile parts seller","sandwich caregiver","second job or side work","protect customer or facility trust","compare possible part families","true","true","73.7","77.3","88.9","promising","proof packet value is invisible before the first successful scan"
"1539","DEMO-TEST-SL-5000-COUNTER-0776","counter","Counter / Distributor","regional distributor counter","sandwich caregiver","unpredictable on-call schedule","feel confident without calling a boss","compare possible part families","true","true","73.7","77.2","88.9","promising","proof packet value is invisible before the first successful scan"
"1540","DEMO-TEST-SL-5000-HOMEOWNER-0189","homeowner","Homeowner","first-time pool owner","late career or empty nest","unpredictable on-call schedule","teach the next person faster","know when to stop and call a pro","true","true","73.7","77","84","promising","technical navigation remains too broad for homeowner mode"
"1541","DEMO-TEST-SL-5000-HOMEOWNER-0405","homeowner","Homeowner","first-time pool owner","late career or empty nest","unpredictable on-call schedule","teach the next person faster","know when to stop and call a pro","true","true","73.7","74.3","84.4","promising","technical navigation remains too broad for homeowner mode"
"1542","DEMO-TEST-SL-5000-FACILITY-0395","facility","Facility / CPO","fitness or medical facility","early career","protect dinner at home","protect customer or facility trust","record equipment proof","false","false","73.7","72.7","72.7","failed_first_value","facility completion packet needs richer evidence capture"
"1543","DEMO-TEST-SL-5000-TRAINER-0162","trainer","Trainer","trade-school lab","early career","unpredictable on-call schedule","protect customer or facility trust","run a five-minute field lesson","true","true","73.6","78.7","83.7","promising","training value is hidden until after a PartSnap result"
"1544","DEMO-TEST-SL-5000-COUNTER-0615","counter","Counter / Distributor","mobile parts seller","sandwich caregiver","protect dinner at home","teach the next person faster","send a vendor packet","true","true","73.6","77.9","84.8","promising","proof packet value is invisible before the first successful scan"
"1545","DEMO-TEST-SL-5000-TRAINER-0953","trainer","Trainer","independent online training","late career or empty nest","unpredictable on-call schedule","avoid a weekend callback","run a five-minute field lesson","true","true","73.6","77.3","88.8","promising","training value is hidden until after a PartSnap result"
"1546","DEMO-TEST-SL-5000-HOMEOWNER-0778","homeowner","Homeowner","HOA board volunteer","raising young children","second job or side work","feel confident without calling a boss","know when to stop and call a pro","true","true","73.6","76.4","88.9","promising","technical navigation remains too broad for homeowner mode"
"1547","DEMO-TEST-SL-5000-HOMEOWNER-0445","homeowner","Homeowner","owner working with a service company","established family","unpredictable on-call schedule","feel confident without calling a boss","check a basic dosing input","true","true","73.6","75.6","84.2","promising","technical navigation remains too broad for homeowner mode"
"1548","DEMO-TEST-SL-5000-HOMEOWNER-0028","homeowner","Homeowner","HOA board volunteer","raising young children","unpredictable on-call schedule","feel confident without calling a boss","understand turnover time","true","true","73.6","75.3","89","promising","technical navigation remains too broad for homeowner mode"
"1549","DEMO-TEST-SL-5000-TRAINER-0714","trainer","Trainer","service-company ride-along","established family","unpredictable on-call schedule","feel confident without calling a boss","teach proof before ordering","true","true","73.6","74.9","84.2","promising","training value is hidden until after a PartSnap result"
"1550","DEMO-TEST-SL-5000-COUNTER-0305","counter","Counter / Distributor","independent pool store","sandwich caregiver","second job or side work","feel confident without calling a boss","identify a walk-in part","true","true","73.5","78","88.7","promising","proof packet value is invisible before the first successful scan"
"1551","DEMO-TEST-SL-5000-TRAINER-0918","trainer","Trainer","manufacturer training","sandwich caregiver","protect dinner at home","protect customer or facility trust","use a facility scenario","true","true","73.5","77.7","84.8","promising","training value is hidden until after a PartSnap result"
"1552","DEMO-TEST-SL-5000-HOMEOWNER-0387","homeowner","Homeowner","owner working with a service company","early career","school or daycare pickup","protect customer or facility trust","understand turnover time","true","true","73.5","76.8","83.9","promising","technical navigation remains too broad for homeowner mode"
"1553","DEMO-TEST-SL-5000-HOMEOWNER-0875","homeowner","Homeowner","experienced DIY owner","established family","protect dinner at home","avoid a weekend callback","understand turnover time","true","true","73.5","73.7","85.4","promising","technical navigation remains too broad for homeowner mode"
"1554","DEMO-TEST-SL-5000-COUNTER-0264","counter","Counter / Distributor","regional distributor counter","late career or empty nest","protect dinner at home","avoid a weekend callback","send a vendor packet","true","true","73.4","79.9","84.4","promising","proof packet value is invisible before the first successful scan"
"1555","DEMO-TEST-SL-5000-TRAINER-0591","trainer","Trainer","CPO classroom","late career or empty nest","unpredictable on-call schedule","avoid a weekend callback","run a five-minute field lesson","true","true","73.4","78.6","88.5","promising","training value is hidden until after a PartSnap result"
"1556","DEMO-TEST-SL-5000-COUNTER-0409","counter","Counter / Distributor","independent pool store","established family","protect dinner at home","feel confident without calling a boss","identify a walk-in part","true","true","73.4","78.2","79.8","promising","proof packet value is invisible before the first successful scan"
"1557","DEMO-TEST-SL-5000-TRAINER-0769","trainer","Trainer","CPO classroom","raising young children","second job or side work","teach the next person faster","practice escalation questions","true","true","73.4","78.1","88.6","promising","training value is hidden until after a PartSnap result"
"1558","DEMO-TEST-SL-5000-HOMEOWNER-0938","homeowner","Homeowner","HOA board volunteer","sandwich caregiver","second job or side work","feel confident without calling a boss","check a basic dosing input","true","true","73.4","73.3","89.3","promising","technical navigation remains too broad for homeowner mode"
"1559","DEMO-TEST-SL-5000-TECH-0531","tech","Service Tech","repair-only specialist","raising young children","second job or side work","avoid a weekend callback","avoid a wrong part order","true","false","73.4","71.8","86.6","promising","service-tech start favors code lookup over the PartSnap fork"
"1560","DEMO-TEST-SL-5000-TRAINER-0873","trainer","Trainer","manufacturer training","early career","school or daycare pickup","teach the next person faster","run a five-minute field lesson","true","true","73.3","79.7","83.4","promising","training value is hidden until after a PartSnap result"
"1561","DEMO-TEST-SL-5000-COUNTER-0126","counter","Counter / Distributor","manufacturer support desk","late career or empty nest","elder-care responsibility","avoid a weekend callback","reduce a wrong counter sale","true","true","73.3","79.5","88.4","promising","proof packet value is invisible before the first successful scan"
"1562","DEMO-TEST-SL-5000-COUNTER-0708","counter","Counter / Distributor","regional distributor counter","early career","school or daycare pickup","avoid a weekend callback","compare possible part families","true","true","73.3","78.7","88.6","promising","proof packet value is invisible before the first successful scan"
"1563","DEMO-TEST-SL-5000-TRAINER-0759","trainer","Trainer","service-company ride-along","sandwich caregiver","unpredictable on-call schedule","protect customer or facility trust","review a mystery part","true","true","73.3","75","89.1","promising","training value is hidden until after a PartSnap result"
"1564","DEMO-TEST-SL-5000-HOMEOWNER-0051","homeowner","Homeowner","first-time pool owner","established family","school or daycare pickup","teach the next person faster","understand turnover time","true","true","73.3","73.7","84.3","promising","technical navigation remains too broad for homeowner mode"
"1565","DEMO-TEST-SL-5000-FACILITY-0038","facility","Facility / CPO","municipal or school facility","early career","second job or side work","avoid a weekend callback","prepare an escalation packet","false","false","73.3","71.9","81.6","failed_first_value","facility completion packet needs richer evidence capture"
"1566","DEMO-TEST-SL-5000-FACILITY-0804","facility","Facility / CPO","apartment or HOA pool","established family","unpredictable on-call schedule","feel confident without calling a boss","document a dose","true","false","73.3","69.1","77.2","promising","facility completion packet needs richer evidence capture"
"1567","DEMO-TEST-SL-5000-COUNTER-0323","counter","Counter / Distributor","independent pool store","early career","second job or side work","feel confident without calling a boss","collect the missing label proof","true","true","73.2","79.7","83.4","promising","proof packet value is invisible before the first successful scan"
"1568","DEMO-TEST-SL-5000-COUNTER-0406","counter","Counter / Distributor","independent pool store","sandwich caregiver","elder-care responsibility","avoid a weekend callback","send a vendor packet","true","true","73.2","79.5","93.2","promising","proof packet value is invisible before the first successful scan"
"1569","DEMO-TEST-SL-5000-TRAINER-0957","trainer","Trainer","manufacturer training","late career or empty nest","second job or side work","avoid a weekend callback","practice escalation questions","true","true","73.2","79.4","88.3","promising","training value is hidden until after a PartSnap result"
"1570","DEMO-TEST-SL-5000-COUNTER-0680","counter","Counter / Distributor","mobile parts seller","established family","elder-care responsibility","avoid a weekend callback","compare possible part families","true","true","73.2","79.1","88.4","promising","proof packet value is invisible before the first successful scan"
"1571","DEMO-TEST-SL-5000-COUNTER-0356","counter","Counter / Distributor","manufacturer support desk","late career or empty nest","school or daycare pickup","get home for dinner","compare possible part families","true","true","73.2","79","88.4","promising","proof packet value is invisible before the first successful scan"
"1572","DEMO-TEST-SL-5000-COUNTER-0870","counter","Counter / Distributor","independent pool store","sandwich caregiver","school or daycare pickup","avoid a weekend callback","identify a walk-in part","true","true","73.2","78.1","93.5","promising","proof packet value is invisible before the first successful scan"
"1573","DEMO-TEST-SL-5000-TRAINER-0325","trainer","Trainer","service-company ride-along","late career or empty nest","elder-care responsibility","avoid a weekend callback","use a facility scenario","true","true","73.2","77.4","88.6","promising","training value is hidden until after a PartSnap result"
"1574","DEMO-TEST-SL-5000-HOMEOWNER-0688","homeowner","Homeowner","experienced DIY owner","late career or empty nest","elder-care responsibility","protect customer or facility trust","check a basic dosing input","true","true","73.2","75.7","84","promising","technical navigation remains too broad for homeowner mode"
"1575","DEMO-TEST-SL-5000-COUNTER-0947","counter","Counter / Distributor","independent pool store","established family","protect dinner at home","protect customer or facility trust","compare possible part families","true","true","73.1","79.4","79.6","promising","proof packet value is invisible before the first successful scan"
"1576","DEMO-TEST-SL-5000-TRAINER-0693","trainer","Trainer","service-company ride-along","established family","elder-care responsibility","avoid a weekend callback","review a mystery part","true","true","73.1","79.1","88.4","promising","training value is hidden until after a PartSnap result"
"1577","DEMO-TEST-SL-5000-TRAINER-0360","trainer","Trainer","trade-school lab","sandwich caregiver","protect dinner at home","avoid a weekend callback","practice escalation questions","true","true","73.1","78.9","89.4","promising","training value is hidden until after a PartSnap result"
"1578","DEMO-TEST-SL-5000-HOMEOWNER-0781","homeowner","Homeowner","short-term rental owner","late career or empty nest","second job or side work","teach the next person faster","estimate pool volume","true","true","73.1","76.7","83.8","promising","technical navigation remains too broad for homeowner mode"
"1579","DEMO-TEST-SL-5000-HOMEOWNER-0835","homeowner","Homeowner","short-term rental owner","early career","school or daycare pickup","teach the next person faster","estimate pool volume","true","true","73.1","75","84.1","promising","technical navigation remains too broad for homeowner mode"
"1580","DEMO-TEST-SL-5000-HOMEOWNER-0154","homeowner","Homeowner","first-time pool owner","established family","protect dinner at home","protect customer or facility trust","know when to stop and call a pro","true","true","73.1","74.8","80.2","promising","technical navigation remains too broad for homeowner mode"
"1581","DEMO-TEST-SL-5000-FACILITY-0461","facility","Facility / CPO","fitness or medical facility","raising young children","school or daycare pickup","teach the next person faster","respond to a contamination event","false","false","73.1","72.2","81.5","failed_first_value","facility completion packet needs richer evidence capture"
"1582","DEMO-TEST-SL-5000-HOMEOWNER-0042","homeowner","Homeowner","HOA board volunteer","raising young children","elder-care responsibility","teach the next person faster","prepare a clear note for a pro","true","true","73","74.6","89","promising","technical navigation remains too broad for homeowner mode"
"1583","DEMO-TEST-SL-5000-HOMEOWNER-0949","homeowner","Homeowner","HOA board volunteer","raising young children","school or daycare pickup","avoid a weekend callback","estimate pool volume","true","true","73","74.4","93.9","promising","technical navigation remains too broad for homeowner mode"
"1584","DEMO-TEST-SL-5000-FACILITY-0115","facility","Facility / CPO","fitness or medical facility","early career","protect dinner at home","avoid a weekend callback","run a daily pool check","false","false","73","72.2","77.5","failed_first_value","facility completion packet needs richer evidence capture"
"1585","DEMO-TEST-SL-5000-TRAINER-0990","trainer","Trainer","CPO classroom","established family","unpredictable on-call schedule","avoid a weekend callback","teach proof before ordering","true","true","72.9","77.4","88.6","promising","training value is hidden until after a PartSnap result"
"1586","DEMO-TEST-SL-5000-COUNTER-0909","counter","Counter / Distributor","mobile parts seller","raising young children","second job or side work","get home for dinner","compare possible part families","true","true","72.9","76.7","93.6","promising","proof packet value is invisible before the first successful scan"
"1587","DEMO-TEST-SL-5000-HOMEOWNER-0608","homeowner","Homeowner","HOA board volunteer","late career or empty nest","protect dinner at home","get home for dinner","know when to stop and call a pro","true","true","72.9","76.6","84.7","promising","technical navigation remains too broad for homeowner mode"
"1588","DEMO-TEST-SL-5000-TRAINER-0368","trainer","Trainer","trade-school lab","sandwich caregiver","second job or side work","get home for dinner","use a facility scenario","true","true","72.9","76.1","93.7","promising","training value is hidden until after a PartSnap result"
"1589","DEMO-TEST-SL-5000-TRAINER-0244","trainer","Trainer","trade-school lab","early career","protect dinner at home","feel confident without calling a boss","use a facility scenario","true","true","72.9","75.1","80.1","promising","training value is hidden until after a PartSnap result"
"1590","DEMO-TEST-SL-5000-HOMEOWNER-0113","homeowner","Homeowner","HOA board volunteer","sandwich caregiver","second job or side work","feel confident without calling a boss","prepare a clear note for a pro","true","true","72.9","75","88.9","promising","technical navigation remains too broad for homeowner mode"
"1591","DEMO-TEST-SL-5000-FACILITY-0410","facility","Facility / CPO","municipal or school facility","established family","second job or side work","teach the next person faster","run a daily pool check","false","false","72.9","73.3","76.3","failed_first_value","facility completion packet needs richer evidence capture"
"1592","DEMO-TEST-SL-5000-COUNTER-0994","counter","Counter / Distributor","mobile parts seller","sandwich caregiver","unpredictable on-call schedule","teach the next person faster","send a vendor packet","true","true","72.8","79.7","88.2","promising","proof packet value is invisible before the first successful scan"
"1593","DEMO-TEST-SL-5000-COUNTER-0421","counter","Counter / Distributor","regional distributor counter","early career","protect dinner at home","feel confident without calling a boss","compare possible part families","true","true","72.8","79.3","79.4","promising","proof packet value is invisible before the first successful scan"
"1594","DEMO-TEST-SL-5000-COUNTER-0747","counter","Counter / Distributor","regional distributor counter","established family","protect dinner at home","protect customer or facility trust","identify a walk-in part","true","true","72.8","77","79.8","promising","proof packet value is invisible before the first successful scan"
"1595","DEMO-TEST-SL-5000-HOMEOWNER-0316","homeowner","Homeowner","first-time pool owner","established family","protect dinner at home","feel confident without calling a boss","prepare a clear note for a pro","true","true","72.8","76.9","79.8","promising","technical navigation remains too broad for homeowner mode"
"1596","DEMO-TEST-SL-5000-TRAINER-0487","trainer","Trainer","service-company ride-along","sandwich caregiver","unpredictable on-call schedule","avoid a weekend callback","teach proof before ordering","true","true","72.8","75.3","93.8","promising","training value is hidden until after a PartSnap result"
"1597","DEMO-TEST-SL-5000-HOMEOWNER-0848","homeowner","Homeowner","HOA board volunteer","established family","unpredictable on-call schedule","avoid a weekend callback","know when to stop and call a pro","true","true","72.8","74.9","88.9","promising","technical navigation remains too broad for homeowner mode"
"1598","DEMO-TEST-SL-5000-HOMEOWNER-0087","homeowner","Homeowner","owner working with a service company","raising young children","elder-care responsibility","feel confident without calling a boss","understand turnover time","true","true","72.8","73.2","89.2","promising","technical navigation remains too broad for homeowner mode"
"1599","DEMO-TEST-SL-5000-TECH-0107","tech","Service Tech","commercial pool route","raising young children","school or daycare pickup","feel confident without calling a boss","calculate a field dose","false","false","72.8","70.8","81.6","failed_first_value","dense supporting copy is difficult to scan"
"1600","DEMO-TEST-SL-5000-TRAINER-0689","trainer","Trainer","CPO classroom","established family","protect dinner at home","teach the next person faster","teach proof before ordering","true","true","72.7","79.3","79.4","promising","training value is hidden until after a PartSnap result"
"1601","DEMO-TEST-SL-5000-TRAINER-0225","trainer","Trainer","independent online training","late career or empty nest","school or daycare pickup","protect customer or facility trust","teach proof before ordering","true","true","72.7","78.6","83.4","promising","training value is hidden until after a PartSnap result"
"1602","DEMO-TEST-SL-5000-TECH-0537","tech","Service Tech","warranty service route","raising young children","second job or side work","protect customer or facility trust","calculate a field dose","true","false","72.7","71.9","81.4","promising","dynamic workflow state needs stronger screen-reader announcements"
"1603","DEMO-TEST-SL-5000-FACILITY-0020","facility","Facility / CPO","fitness or medical facility","sandwich caregiver","elder-care responsibility","feel confident without calling a boss","record equipment proof","false","false","72.7","70","81.7","failed_first_value","facility completion packet needs richer evidence capture"
"1604","DEMO-TEST-SL-5000-TRAINER-0764","trainer","Trainer","CPO classroom","raising young children","school or daycare pickup","teach the next person faster","run a five-minute field lesson","true","true","72.6","78","88.4","promising","training value is hidden until after a PartSnap result"
"1605","DEMO-TEST-SL-5000-COUNTER-0362","counter","Counter / Distributor","service-company stock room","raising young children","elder-care responsibility","protect customer or facility trust","reduce a wrong counter sale","true","true","72.6","77.5","88.5","promising","proof packet value is invisible before the first successful scan"
"1606","DEMO-TEST-SL-5000-TRAINER-0293","trainer","Trainer","independent online training","early career","elder-care responsibility","feel confident without calling a boss","teach proof before ordering","true","true","72.6","76.8","83.7","promising","training value is hidden until after a PartSnap result"
"1607","DEMO-TEST-SL-5000-TRAINER-0363","trainer","Trainer","service-company ride-along","late career or empty nest","elder-care responsibility","feel confident without calling a boss","run a five-minute field lesson","true","true","72.6","75.6","83.9","promising","training value is hidden until after a PartSnap result"
"1608","DEMO-TEST-SL-5000-TRAINER-0967","trainer","Trainer","manufacturer training","late career or empty nest","second job or side work","get home for dinner","run a five-minute field lesson","true","true","72.6","73.9","89","promising","training value is hidden until after a PartSnap result"
"1609","DEMO-TEST-SL-5000-COUNTER-0927","counter","Counter / Distributor","regional distributor counter","raising young children","elder-care responsibility","get home for dinner","reduce a wrong counter sale","true","false","72.6","69.2","86.7","promising","proof packet value is invisible before the first successful scan"
"1610","DEMO-TEST-SL-5000-FACILITY-0392","facility","Facility / CPO","hotel or resort","late career or empty nest","protect dinner at home","avoid a weekend callback","respond to a contamination event","false","false","72.6","68.4","78","failed_first_value","facility completion packet needs richer evidence capture"
"1611","DEMO-TEST-SL-5000-TECH-0812","tech","Service Tech","repair-only specialist","established family","school or daycare pickup","teach the next person faster","save visit proof","true","true","72.5","79.2","83.3","promising","secondary controls need larger touch targets"
"1612","DEMO-TEST-SL-5000-TRAINER-0680","trainer","Trainer","trade-school lab","early career","school or daycare pickup","feel confident without calling a boss","use a facility scenario","true","true","72.5","79","83.3","promising","training value is hidden until after a PartSnap result"
"1613","DEMO-TEST-SL-5000-COUNTER-0301","counter","Counter / Distributor","independent pool store","raising young children","protect dinner at home","teach the next person faster","send a vendor packet","true","true","72.5","78.6","84.4","promising","proof packet value is invisible before the first successful scan"
"1614","DEMO-TEST-SL-5000-TRAINER-0698","trainer","Trainer","CPO classroom","late career or empty nest","elder-care responsibility","feel confident without calling a boss","use a facility scenario","true","true","72.5","77.8","83.5","promising","training value is hidden until after a PartSnap result"
"1615","DEMO-TEST-SL-5000-TRAINER-0413","trainer","Trainer","service-company ride-along","late career or empty nest","protect dinner at home","protect customer or facility trust","review a mystery part","true","true","72.5","77.5","79.6","promising","training value is hidden until after a PartSnap result"
"1616","DEMO-TEST-SL-5000-HOMEOWNER-0767","homeowner","Homeowner","HOA board volunteer","early career","protect dinner at home","protect customer or facility trust","estimate pool volume","true","true","72.5","75.8","79.9","promising","technical navigation remains too broad for homeowner mode"
"1617","DEMO-TEST-SL-5000-HOMEOWNER-0933","homeowner","Homeowner","experienced DIY owner","sandwich caregiver","protect dinner at home","teach the next person faster","estimate pool volume","true","true","72.5","74.1","85","promising","technical navigation remains too broad for homeowner mode"
"1618","DEMO-TEST-SL-5000-FACILITY-0682","facility","Facility / CPO","municipal or school facility","raising young children","second job or side work","avoid a weekend callback","record equipment proof","true","false","72.5","71","86.3","promising","facility completion packet needs richer evidence capture"
"1619","DEMO-TEST-SL-5000-FACILITY-0596","facility","Facility / CPO","apartment or HOA pool","established family","second job or side work","get home for dinner","run a daily pool check","false","false","72.5","70.7","81.5","failed_first_value","facility completion packet needs richer evidence capture"
"1620","DEMO-TEST-SL-5000-COUNTER-0333","counter","Counter / Distributor","manufacturer support desk","late career or empty nest","protect dinner at home","get home for dinner","reduce a wrong counter sale","false","false","72.5","68.7","77.9","failed_first_value","proof packet value is invisible before the first successful scan"
"1621","DEMO-TEST-SL-5000-COUNTER-0595","counter","Counter / Distributor","regional distributor counter","established family","second job or side work","get home for dinner","compare possible part families","true","true","72.4","80.8","87.9","promising","proof packet value is invisible before the first successful scan"
"1622","DEMO-TEST-SL-5000-HOMEOWNER-0011","homeowner","Homeowner","HOA board volunteer","sandwich caregiver","elder-care responsibility","teach the next person faster","understand turnover time","true","true","72.4","76","88.6","promising","technical navigation remains too broad for homeowner mode"
"1623","DEMO-TEST-SL-5000-TRAINER-0010","trainer","Trainer","service-company ride-along","early career","protect dinner at home","avoid a weekend callback","practice escalation questions","true","true","72.4","75.4","84.8","promising","training value is hidden until after a PartSnap result"
"1624","DEMO-TEST-SL-5000-COUNTER-0865","counter","Counter / Distributor","regional distributor counter","early career","unpredictable on-call schedule","get home for dinner","compare possible part families","true","true","72.4","75.2","88.8","promising","proof packet value is invisible before the first successful scan"
